TEGAt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TGUAt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TSULt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
RIBt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SELTt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SO4NA1t: Minimum = -1.835496639317714e-15, Maximum = 10.0, Range = 10.000000000000002
URATEt_1: Minimum = 0.0, Maximum = 0.0, Range = 0.0
34HPPt2m: Minimum = -1000.0000000000003, Maximum = 1000.0000000000003, Range = 2000.0000000000007
UREAt_1: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ACCOAts: Minimum = 0.0, Maximum = 145.27379778288284, Range = 145.27379778288284
ACts: Minimum = -145.27379778288326, Maximum = 0.0, Range = 145.27379778288326
SO4t2: Minimum = -9.881512093978797, Maximum = 0.1184879060217537, Range = 10.00000000000055
SUCCt: Minimum = -393.7577747074303, Maximum = 0.0, Range = 393.7577747074303
UDPtg: Minimum = 0.0, Maximum = 0.0, Range = 0.0
COAts: Minimum = -145.27379778288284, Maximum = -6.389806661225401e-06, Range = 145.27379139307618
H2Ots: Minimum = 0.0, Maximum = 145.27379139307712, Range = 145.27379139307712
3MOPtm: Minimum = 0.0, Maximum = 72.42896852418728, Range = 72.42896852418728
HDCAts: Minimum = -145.2737977828828, Maximum = 0.0, Range = 145.2737977828828
Hts: Minimum = -145.27378500326955, Maximum = 6.389806661226631e-06, Range = 145.2737913930762
NADHts: Minimum = -1000.0000000000001, Maximum = 1000.0000000000013, Range = 2000.0000000000014
NADPHts: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
NADPts: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
NADts: Minimum = -999.9999999999998, Maximum = 1000.0000000000025, Range = 2000.0000000000023
PMTCOAts: Minimum = -2.3823528702116053e-13, Maximum = 145.27379778288554, Range = 145.27379778288577
1ACPCtm: Minimum = 2.3521508034169826e-17, Maximum = 103.01473865002005, Range = 103.01473865002005
23DHMBtm: Minimum = -153.3538687138506, Maximum = 153.58179480117687, Range = 306.9356635150275
2DHPtm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
RETINALts: Minimum = 6.389806661225399e-06, Maximum = 6.3898066612256976e-06, Range = 2.981555974335137e-19
4ABUTtm: Minimum = -1000.0, Maximum = 0.0, Range = 1000.0
NADPHtf: Minimum = 0.0, Maximum = 0.0, Range = 0.0
NADPtf: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MALICITtm: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
4ABUTtmi: Minimum = 0.0, Maximum = 999.9999999999998, Range = 999.9999999999998
MALOAAtm: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
METHFtm: Minimum = 0.0, Maximum = -3.96937827839839e-13, Range = -3.96937827839839e-13
OAAtf: Minimum = 0.0, Maximum = 0.0, Range = 0.0
FDPtf: Minimum = 0.0, Maximum = 0.0, Range = 0.0
H2Otf: Minimum = 0.0, Maximum = 0.0, Range = 0.0
METtm: Minimum = -0.24718378000345362, Maximum = 4.3859559701885065, Range = 4.63313975019196
4MOPtm: Minimum = -2.171726069900973e-14, Maximum = 239.74032195451906, Range = 239.7403219545191
MLTHFtm_1: Minimum = -0.013420047361973974, Maximum = -0.01342004736197344, Range = 5.342948306008566e-16
PItf: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PYRtf: Minimum = 0.0, Maximum = 0.0, Range = 0.0
2PGLYCtx: Minimum = -4.316438754068158, Maximum = 0.0, Range = 4.316438754068158
NA1ATPasem: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
NA1Htm: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
3PGtx: Minimum = 0.0, Maximum = 0.0, Range = 0.0
5FTHFtm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ACCOAtx: Minimum = -365.21307806353514, Maximum = 4.316438754068166, Range = 369.5295168176033
NA1tm: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
NADHtm: Minimum = 0.0, Maximum = 978.2065357033123, Range = 978.2065357033123
NADtm: Minimum = -978.2065357032723, Maximum = -7.12345282604668e-13, Range = 978.2065357032716
NH4tm_1: Minimum = -1000.0, Maximum = 54.44011500448247, Range = 1054.4401150044825
O2tm: Minimum = -6.672658686754766e-16, Maximum = 4.316438754067989, Range = 4.31643875406799
ASNtx: Minimum = 0.0, Maximum = 406.7260936879883, Range = 406.7260936879883
ASPtx: Minimum = 0.0, Maximum = 406.72609368797026, Range = 406.72609368797026
CITx: Minimum = -2.158219377033972, Maximum = 0.0, Range = 2.158219377033972
CO2tp: Minimum = 0.0, Maximum = 0.0, Range = 0.0
COA_h_tx: Minimum = -45.65163475793812, Maximum = 0.0, Range = 45.65163475793812
OAAAKGtm: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
OAACITtm: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
FA160COAabcp_1: Minimum = 0.0, Maximum = 57.06454344742727, Range = 57.06454344742727
5MTAtm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
FA40COAabcp: Minimum = 0.0, Maximum = 57.064543447426246, Range = 57.064543447426246
FORtxi: Minimum = 0.0, Maximum = 0.0, Range = 0.0
OAAICITtm: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
