HBCO_nadp_m: Minimum = 0.0, Maximum = 999.9999999999998, Range = 999.9999999999998
HBNOm: Minimum = -125.04245280901742, Maximum = 5.0345912318356056e-27, Range = 125.04245280901742
HBNOx: Minimum = -125.04245280901625, Maximum = 0.0, Range = 125.04245280901625
APLh: Minimum = 0.0, Maximum = 88.09915961891744, Range = 88.09915961891744
APLm: Minimum = 0.0, Maximum = 121.46981130020895, Range = 121.46981130020895
BNOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BNORh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BTS: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BTS_nadph: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HBCO: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
HBCOm: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
SSNOh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SSNOm: Minimum = 0.0, Maximum = 235.7712306059344, Range = 235.7712306059344
CALLOSES: Minimum = 0.0, Maximum = 19.682608312532807, Range = 19.682608312532807
CALLOSESf: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ALAAT: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
HCO3E: Minimum = -1000.0, Maximum = 1.2749892578211146e-10, Range = 1000.0000000001274
HCO3Em: Minimum = -151.02713077529546, Maximum = 1000.0, Range = 1151.0271307752955
FBA3hi: Minimum = 8.020658775385316e-14, Maximum = 337.27414927648846, Range = 337.2741492764884
GAPDH_nadp_hi: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
HCO3Ehi: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
MDH_nadp_hi: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
MDHCm: Minimum = 0.0, Maximum = 461.62028790737065, Range = 461.62028790737065
PPC: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
PPDKh: Minimum = 0.0, Maximum = 73.9381460088346, Range = 73.9381460088346
PRUK: Minimum = 4.588766976804578e-15, Maximum = 351.07438955573474, Range = 351.07438955573474
RBPCh: Minimum = 0.0, Maximum = 351.0743895557663, Range = 351.0743895557663
SBP: Minimum = 0.0, Maximum = 337.27414927648135, Range = 337.27414927648135
GAPDH_nadp: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
ASPATm: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
MDHC_nadp_hr: Minimum = -1000.0, Maximum = 1.7834045777104848, Range = 1001.7834045777105
ANXANASCOR: Minimum = -0.00014990937166561134, Maximum = 58.69254360145558, Range = 58.69269351082725
