HBNOx: Minimum = 1.1359664185198829e-14, Maximum = 0.0, Range = -1.1359664185198829e-14
APLh: Minimum = 0.0, Maximum = 2.161937135475992, Range = 2.161937135475992
APLm: Minimum = 0.0, Maximum = 2.555016614658073, Range = 2.555016614658073
BNOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BNORh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BTS: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BTS_nadph: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HBCO: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
HBCOm: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
SSNOh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SSNOm: Minimum = 0.0, Maximum = 4.593125031447224, Range = 4.593125031447224
CALLOSES: Minimum = 0.0, Maximum = -6.9269587507912074e-12, Range = -6.9269587507912074e-12
CALLOSESf: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ALAAT: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
HCO3E: Minimum = -1000.0, Maximum = -0.4257799003165553, Range = 999.5742200996834
HCO3Em: Minimum = -4.755755991407298, Maximum = 993.9864350415864, Range = 998.7421910329938
FBA3hi: Minimum = 1.3516216535647292, Maximum = 14.71655936852784, Range = 13.36493771496311
GAPDH_nadp_hi: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
HCO3Ehi: Minimum = 0.42041747962539056, Maximum = 92.20925607114373, Range = 91.78883859151834
MDH_nadp_hi: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
MDHCm: Minimum = 0.0, Maximum = 13.779375094394329, Range = 13.779375094394329
PPC: Minimum = 0.0, Maximum = 67.35863703571273, Range = 67.35863703571273
PPDKh: Minimum = 0.0, Maximum = 0.011858194047679183, Range = 0.011858194047679183
PRUK: Minimum = 1.868455122813456, Maximum = 18.973205036879904, Range = 17.10474991406645
RBPCh: Minimum = 1.8684551228134558, Maximum = 18.973205036864396, Range = 17.10474991405094
SBP: Minimum = 1.351621653564766, Maximum = 14.716559368682686, Range = 13.36493771511792
GAPDH_nadp: Minimum = 0.0, Maximum = 39.005113358993256, Range = 39.005113358993256
ASPATm: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
MDHC_nadp_hr: Minimum = -90.36535683045255, Maximum = -5.0185499276200725, Range = 85.34680690283248
ANXANASCOR: Minimum = -5.2006484428990496e-05, Maximum = 6.8896849468624835, Range = 6.889736953346913
BCAROH: Minimum = 6.760842975791519e-05, Maximum = 6.76084297579226e-05, Range = 7.413232354369637e-18
BCAROKT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BCRPTXANH: Minimum = 6.760842975792962e-05, Maximum = 6.76084297585247e-05, Range = 5.950779148958252e-16
LCYA: Minimum = 0.00012481556263002413, Maximum = 0.00012481556263112275, Range = 1.0986220613795616e-15
