,fluxes
LTHSTRLOR,0.0
GLYNA1tm,0.0
GLYt2m,-3.7748648225135
GMPtm,0.0
H2O2tm,0.0
H2Otm,-37.01387120951463
H2tm,0.0
HCO3_h_tmi,0.0
SSALxm,0.0
HCYStm,-0.06951721612023802
ALATA_L,0.0
FBA3hi,0.0
GAPDH_nadp_hi,0.0
MCS,0.9091668162847495
MERGTROLR,0.0
HMGCOAtm,2.7576057170298207
MPQMT,0.0
HCO3Ehi,0.0
ILEtm,0.0
HCO3E,-102.3925318791571
OBFOOLOR,0.0
HCO3Em,1.9644861329016552
LEUtm,0.0
MDH_nadp_hi,0.0
PSPPS,0.0
MAL_na_tm,0.0
SMO,0.0
SS,0.0
ME1m,0.0
AKGMALtm,0.0
TCYD,0.0
TCYG,0.0
TMTB,0.0
PPC,0.0
CITtam,0.0
PPDKh,0.44745607458029346
PRUK_1,0.0
TMTD,0.0
TMTG,0.0
RBPCh,0.0
VITD3S,0.0
ZYMSTR,0.0
3OACOAR,1.207764137994402
SBP_1,0.0
ASPTAm,0.8725393454315709
MDHC_nadp_hr,-99.6423058771465
ANXANASCOR,-0.006208344172314965
3OACOAS,1.2077641379944017
ANXANOR,0.0
SHSL1h,0.0
BCAROH,0.008070847424009452
BCAROKT,0.0
BCRPTXANH,0.008070847424009452
CHYA1,0.011795853927398448
CHYA2,0.0
COA1819ZD9DS,1.088688554040746
SHSL2h,0.0
ECOAH8,1.207764137994402
CXHY,0.0
LCYA,0.014900026013555927
LCYB,0.016765724168581027
LCYD,0.014900026013555931
ECOAR,1.207764137994402
LCYE,0.0
FACOAE160,0.8372691236633657
LCYG,0.016765724168581027
FACOAE180,0.11907558395365575
SHSL4h,0.0
FACOAE1819Z,0.40850867140024544
FACOAE1829Z12Z,0.0
FACOAE1836Z9Z12Z,0.0
FACOAE1839Z12Z15Z,0.0
LUTH,0.004035423712004728
NEOXANS,0.00341458929477323
NOR,0.03166575018213696
PDS1,0.031665750182136965
PDS2,0.031665750182136965
PSY,0.03166575018213697
VIOXANOR,-0.005587509755083466
DESAT18_9,0.0
APLh,0.0
ZAXANOR,0.0
AATC,0.0
ZDS,0.03166575018213696
APLm,0.0
ZHY,0.01179585392739845
BUTCT,-0.1555435724581223
LCYSTATm,0.0
ACOAD1,2.4105213888815777
BTCOARx,0.0
BNORh,2.3604980290859196e-15
ETF,0.0
ETFQO_1,0.0
3SPYRSPh,0.0
BTS,0.0
3SPYRSPm_1,0.0
AATG,0.0
ACSERSULL,0.0
ACSERSULLh,0.0
ACSERSULLm,0.0
BTS_nadph,0.0
ECOAH1,2.410521388881578
ECOAH1m,0.0
HBCHLR,0.0
CYSTAm,0.0
HACD1i,12.290803632836992
AATGm,0.0
HBCO_nadp,14.70132502171857
CTINBL,0.0
HBCO_nadp_m,0.0
CYSATm,0.0
CYSAT,0.0
TGUAPRT,0.0
HACD1m,0.0
3HAD100_1,0.0
CYSDO,0.0
3HAD120_1,0.0
CYSS_1,0.0
3HAD140_1,0.0
3HAD160_1,0.0
BDHm,-2.757605717029821
HBNOx,0.0
SSNOh,0.0
3HAD180_1,0.0
3HAD181_1,0.3542881681812027
3HAD40_1,0.0
3HAD60_1,0.0
CYSS_trdrd,0.0
3HAD80_1,0.0
3OAR100_1,0.0
3OAS120_1,0.0
3OAS140_1,0.0
3OAR120_1,0.0
3OAS160_1,0.0
3OAS180_1,0.0
3OAS181_1,0.3542881681812027
3OAR140_1,0.0
3OAR160_1,0.0
3OAR180_1,0.0
3OAS60_1,0.0
3OAR181_1,0.35428816818120257
3OAS80_1,0.0
CYSTBL,0.02983040497201951
ACCOAC_1,0.0
ACOATA_1,0.0
3OAR40_1,0.0
3OAR60_1,0.0
3OAR80_1,0.0
3OAS100_1,0.0
EAR100x_1,0.0
ACP1619ZD9DS,0.3592209951858464
ACP1819ZD9DS,0.0
BTNC,0.0
CYSTRS,0.0
FA180ACPHi,0.0
EAR100y_1,0.0
EAR120x_1,0.0
EAR120y_1,0.0
SAT,0.0
EAR140x_1,0.0
EAR140y_1,0.0
EAR160x_1,0.0
EAR160y_1,0.0
EAR180x_1,0.0
FA1819ZACPH,0.0
FA181ACPHi,0.33020575011602216
FA80ACPHi_1,0.0
KAS14_1,0.0
MCOATA_1,0.35428816818120257
ACACT2m,2.2549778164234557
ACACT3m,2.2549778164234557
EAR181x_1,0.3542881681812026
EAR181y_1,0.0
EAR40x_1,0.0
SATm,0.0
EAR40y_1,0.0
EAR60x_1,0.0
EAR60y_1,0.0
EAR80x_1,0.0
EAR80y_1,0.0
ACACT4m,2.2549778164234557
ACACT5m,2.2549778164234557
ACACT6m,2.2549778164234557
ACACT7m,2.2549778164234557
ACOAR2m,2.254977816423456
ACOAR3m,2.2549778164234557
ACOAR4m,2.2549778164234557
FA100ACPHi_1,0.0
FA120ACPHi_1,0.0
ACOAR5m,2.2549778164234557
FA140ACPHi_1,0.0
ACOAR6m,2.2549778164234557
CITALALDOR,0.0
ACOAR7m,2.2549778164234566
ECOAH2m,2.254977816423456
ECOAH3m,2.254977816423456
FA160ACPHi_1,0.0
FA161ACPHi_1,0.0
AACPS6_1,0.0
CITALDM,0.0
ACACT1x,0.0
ACACT2,0.0
ACACT3,0.0
ECOAH4m,2.254977816423456
ECOAH5m,2.254977816423456
ECOAH6m,2.254977816423456
ECOAH7m,2.254977816423456
HACD2m,2.254977816423456
HACD3m,2.254977816423456
HACD4m,2.254977816423456
ACACT4p,0.0
ACACT5p,0.0
ACACT6p,1.1045632473142151e-15
CITALMO,0.0
ACACT7p,1.1045632473142151e-15
ACOA100OR,0.0
HACD5m,2.254977816423456
HACD6m,2.254977816423456
HACD7m,2.254977816423456
AACP1819ZS,0.4287870512186644
ACOA120OR,1.104563247314215e-15
ACOA140OR,1.104563247314215e-15
AACPS1_1,0.0
CITALOR,0.0
AACPS3_1,0.8372691236633657
AACPS4_1,0.0
AACPS5_1,0.0
ACOA160OR,1.1045632473142151e-15
ACOA40OR,0.0
ACOA60OR,0.0
ACOA80OR,0.0
CACOAL,0.08396777005322303
DDMCITALOR,0.0
CYTP450Rh,0.0
DMCITALDM,0.0
ECOAH1x,0.0
ECOAH2_1,0.0
ECOAH3_1,0.0
HACD7p,-1.1045632473142151e-15
FACOAL1821,0.0
DMCITALOR,0.0
FACOAL1832,0.0
FACOAL1831,0.0
ECOAH4p,0.0
ECOAH5p,-1.1045632473142151e-15
ECOAH6p,-1.1045632473142151e-15
PACOAL,0.18798617145444751
ECOAH7p,-1.1045632473142153e-15
10FTHFGLULL,0.0
10FTHFGLULLm,0.0
FACOAL160,0.0
LIDOAMH,0.0
FAH120,0.0
ADCL,0.0
FAH140,0.0
LIDODM,0.0
FAH160,0.0
ADCS,0.0
AKP1_1,0.0
DHFOR,0.0
FAH1819Z,0.0
FAH1829Z12Z,0.0
LIDOMO,0.0
HACD1x,0.0
MEGLYXYLAMH,0.0
HACD2_1,0.0
DHFS,0.0
56DH5FLURAAMH,0.0
HACD3_1,0.0
HACD4p,0.0
HACD5p,-1.1045632473142151e-15
DHNPA_1,0.0
5FLURAOR,0.0
DHPS,0.0
DNMPPA,0.0
DNTPPA_1,0.0
FOLD3_1,0.0
HACD6p,-1.1045632473142151e-15
RFH,0.0
RGH,0.0
SFH,0.0
GTPCI_2,0.0
5FLURAPRT,0.0
HPPK_1,0.0
THFGLUH,0.0
THFGLUS_1,0.0
SGHA,0.0
SGHB,0.0
SYGH,0.0
THFOR1,0.0
6MPURPRT,0.0
THFOR2,0.0
AF1PT,0.0
UDPG4E,4.699111804796617
GLUDC,0.0
ARGDh,0.0
AGAKI,10.576356978964904
6TINS5MPOR,0.0
HEX4,0.0
GLNS,4.315911341326675
GAM,0.0
GDR,0.0
AM6PTh,0.0
6TXAN5MPAML,0.0
BFBP,0.0
BFBPh,0.0
F2PP,0.0
FBPPH,0.0
FPGPL,0.0
GTHOr,1.158231484790344
GDR_nadp_h,0.0
GTHOm,0.0
GDRh,0.9091668162847495
GDRm,0.0
MAN1PT,0.0
MAKI,-2.021680686874926
MPAKI,0.0
GLNTRS,0.0
GLUS_ferr,0.0
AFLBURPPAAMH,0.0
GLUTRS,0.0
PRDPARh,0.0
PMANM,-6.2925588045309e-15
PFK26_1,0.0
SBTRh,0.0
GDHm,0.0
CYTP450R,0.0
GCL,0.0
GTHS_1,0.0
AGMIS,0.0
EMGH,0.0
GALh,8.981594738458083
GALm,1.964486132901655
GLUS,10.293276368113403
GDH,0.0
GALKr,0.0
GALKh,0.0
TEGAMO,0.0
GALO,0.0
GGGH,0.0
GDH_nadp,0.0
GTHAMPOR,-0.11848790602129436
GTHAMPORh,0.0
GRGT,0.0
ACOADAGAT1601819Z1835Z9Z12Z,0.007969759418704491
IAGT,0.0
LCGH,0.0
MGHA,0.0
MGHB,0.0
MLGH,0.0
GTHAMPORm,0.0
GTHPi,1.0397435787690499
GTHPDSOR,-0.9091668162847496
ACOADAGAT16018111Z160,0.008180154334720963
ACOADAGAT16018111Z180,0.007913784860151474
ACOADAGAT16018111Z18111Z,0.007932386246504016
ACOADAGAT16018111Z1819Z,0.007932386246504016
ACOADAGAT16018111Z1835Z9Z12Z,0.007969759418704491
MTGH,0.0
OAGMIG,0.0
ACOADAGAT16018111Z1845Z9Z12Z15Z,0.007988531571316683
