,fluxes
DHPD,0.0
44MZYMMO,0.0
UAGDP,-8.122332464387011e-15
UDPGALOR,0.0
ETOHtm,-42.203802046438035
UMPU,0.0
C14STR,0.0
4MZYMCODH,0.0
4MZYMDM,0.0
4MZYMR,0.0
CADMO,0.0
CADS,0.0
ACGS,1.0884500501465099e-16
AABHH,0.0
AGPR,-0.5998406374820172
CAS,0.0
CHLSTD78I,0.0
ACGK,0.5998406374820172
FA40COAtm,2.345751026785777
ACODA,0.0
ACOTA,-0.5998406374820171
CHLSTI_1,0.0
CHLSTR,0.0
CMK,0.5704063483765351
CMS,0.5704063483765351
CYARTMT,0.0
ACOTAim,0.0
ARGDI,0.0
CYEUOLCYCI,0.0
FADH2tm,0.0
CYEUOLS,0.0
ARGTRS,0.0
DDSMSTOLD,0.0
FADtm,-1.2178259948732102e-15
DDSMSTOLR,0.0
FORtmi,62.547151533745314
G5SD,0.33246069319264726
G5SDym,0.0
DSMSTOLD,0.0
DSMSTOLR,0.0
G5DHx,0.0
ORNTAC,0.5998406374820171
DXRI,0.5704063483765351
DXS,0.5704063483765351
FRDPtm,0.0
GRTT,0.0
FPPSh,0.1426015870941338
GGDR,0.14207829982011605
GGPS_1,0.1426015870941338
GPPSh,0.1426015870941338
HDS,0.5704063483765353
HPT,0.0
DMATT,0.0
GLNtm_1,0.0
IPDDI,0.0
IDIh,0.0
GLU4ABUTtmi,0.0
IDS1,0.42780476128240147
IDS2,0.1426015870941338
GLUNA1tm,0.0
GLUt2m,0.0
LNS14DM,0.0
LNSTLS,0.0
GLYCLTtm,0.0
LTHSTRLOR,0.0
GLYNA1tm,0.0
GLYt2m,-3.7238241868603734
GMPtm,0.0
H2O2tm,0.0
H2Otm,-45.292516653775586
H2tm,0.0
HCO3_h_tmi,0.0
SSALxm,0.0
HCYStm,-0.006284248627435308
ALATA_L,0.0
FBA3hi,0.0
GAPDH_nadp_hi,0.0
MCS,0.5704063483765351
MERGTROLR,0.0
HMGCOAtm,3.787663016763347
MPQMT,0.0
HCO3Ehi,0.0
ILEtm,0.0
HCO3E,-98.42662518412861
OBFOOLOR,0.0
HCO3Em,1.6814386690581191
LEUtm,0.0
MDH_nadp_hi,0.0
PSPPS,0.0
MAL_na_tm,0.0
SMO,0.0
SS,0.0
ME1m,0.0
AKGMALtm,0.0
TCYD,0.0
TCYG,0.0
TMTB,0.0
PPC,0.0
CITtam,0.0
PPDKh,0.5535784183820968
PRUK_1,15.24774320030675
TMTD,0.0
TMTG,0.0
RBPCh,15.24774320030675
VITD3S,0.0
ZYMSTR,0.0
3OACOAR,1.2563821897409682
SBP_1,0.0
ASPTAm,1.007575449888097
MDHC_nadp_hr,-95.68248739009643
ANXANASCOR,-5.065100473538909e-05
3OACOAS,1.256382189740968
ANXANOR,0.0
SHSL1h,0.0
BCAROH,6.584630615600583e-05
BCAROKT,0.0
BCRPTXANH,6.584630615600583e-05
CHYA1,9.623690899723929e-05
CHYA2,0.0
COA1819ZD9DS,1.1325132668229474
SHSL2h,0.0
ECOAH8,1.2563821897409682
CXHY,0.0
LCYA,0.00012156241136493386
LCYB,0.00014008122564393986
LCYD,0.00012156241136493387
ECOAR,1.256382189740968
LCYE,0.0
FACOAE160,0.8709730500340098
LCYG,0.00014008122564393986
FACOAE180,0.12386892291802097
SHSL4h,0.0
FACOAE1819Z,0.4249530210048284
FACOAE1829Z12Z,0.0
FACOAE1836Z9Z12Z,0.0
FACOAE1839Z12Z15Z,0.0
LUTH,3.2923153078002907e-05
NEOXANS,2.7858052604464015e-05
NOR,0.00026164363700887375
PDS1,0.0002616436370088738
PDS2,0.00026164363700887364
PSY,0.0002616436370088738
VIOXANOR,-4.558590426185018e-05
DESAT18_9,0.0
APLh,0.0
ZAXANOR,0.0
AATC,0.0
ZDS,0.00026164363700887375
APLm,0.0
ZHY,9.623690899723929e-05
BUTCT,-0.1618049153948091
LCYSTATm,0.0
ACOAD1,2.5075559421805864
BTCOARx,0.0
BNORh,-1.1174610912690936e-14
ETF,1.2178259948732102e-15
ETFQO_1,1.2178259948732102e-15
3SPYRSPh,0.0
BTS,0.0
3SPYRSPm_1,0.0
AATG,0.0
ACSERSULL,0.0
ACSERSULLh,0.0
ACSERSULLm,0.0
BTS_nadph,0.0
ECOAH1,2.5075559421805864
ECOAH1m,0.0
HBCHLR,0.0
CYSTAm,0.0
HACD1i,26.734498855882997
AATGm,0.0
HBCO_nadp,29.242054798063585
CTINBL,0.0
HBCO_nadp_m,0.0
CYSATm,0.0
CYSAT,0.0
TGUAPRT,0.0
HACD1m,0.0
3HAD100_1,0.0
CYSDO,0.0
3HAD120_1,0.0
CYSS_1,0.0
3HAD140_1,0.0
3HAD160_1,0.0
BDHm,-3.7876630167633474
HBNOx,0.0
SSNOh,0.0
3HAD180_1,0.0
3HAD181_1,0.36854989358930557
3HAD40_1,0.0
3HAD60_1,0.0
CYSS_trdrd,0.0
3HAD80_1,0.0
3OAR100_1,0.0
3OAS120_1,0.0
3OAS140_1,0.0
3OAR120_1,0.0
3OAS160_1,0.0
3OAS180_1,0.0
3OAS181_1,0.36854989358930573
3OAR140_1,0.0
3OAR160_1,0.0
3OAR180_1,0.0
3OAS60_1,0.0
3OAR181_1,0.3685498935893056
3OAS80_1,0.0
CYSTBL,0.15995750332853761
ACCOAC_1,0.0
ACOATA_1,0.0
3OAR40_1,0.0
3OAR60_1,0.0
3OAR80_1,0.0
3OAS100_1,0.0
EAR100x_1,0.0
ACP1619ZD9DS,0.37368128952891294
ACP1819ZD9DS,0.0
BTNC,0.0
CYSTRS,0.0
FA180ACPHi,0.0
EAR100y_1,0.0
EAR120x_1,0.0
EAR120y_1,0.0
SAT,0.0
EAR140x_1,0.0
EAR140y_1,0.0
EAR160x_1,0.0
EAR160y_1,0.0
EAR180x_1,0.0
FA1819ZACPH,0.0
FA181ACPHi,0.34349804762769864
FA80ACPHi_1,0.0
KAS14_1,0.0
MCOATA_1,0.3685498935893057
ACACT2m,2.345751026785777
ACACT3m,2.345751026785777
EAR181x_1,0.36854989358930557
EAR181y_1,0.0
EAR40x_1,0.0
SATm,0.0
EAR40y_1,0.0
EAR60x_1,0.0
EAR60y_1,0.0
EAR80x_1,0.0
EAR80y_1,0.0
ACACT4m,2.345751026785777
ACACT5m,2.345751026785777
ACACT6m,2.345751026785777
ACACT7m,2.345751026785777
ACOAR2m,2.3457510267857775
ACOAR3m,2.3457510267857775
ACOAR4m,2.3457510267857775
FA100ACPHi_1,0.0
FA120ACPHi_1,0.0
ACOAR5m,2.3457510267857775
FA140ACPHi_1,0.0
ACOAR6m,2.3457510267857775
CITALALDOR,0.0
ACOAR7m,2.345751026785778
ECOAH2m,2.3457510267857775
ECOAH3m,2.3457510267857775
FA160ACPHi_1,0.0
FA161ACPHi_1,0.0
AACPS6_1,0.0
CITALDM,0.0
ACACT1x,0.0
ACACT2,0.0
ACACT3,0.0
ECOAH4m,2.3457510267857775
ECOAH5m,2.3457510267857775
ECOAH6m,2.3457510267857775
ECOAH7m,2.3457510267857775
HACD2m,2.345751026785777
HACD3m,2.3457510267857775
HACD4m,2.3457510267857775
ACACT4p,0.0
ACACT5p,0.0
ACACT6p,0.0
CITALMO,0.0
ACACT7p,0.0
ACOA100OR,0.0
HACD5m,2.3457510267857775
HACD6m,2.3457510267857775
HACD7m,2.3457510267857775
AACP1819ZS,0.4460476987148088
ACOA120OR,0.0
ACOA140OR,0.0
AACPS1_1,0.0
CITALOR,0.0
AACPS3_1,0.8709730500340098
AACPS4_1,0.0
AACPS5_1,0.0
ACOA160OR,0.0
ACOA40OR,0.0
ACOA60OR,0.0
ACOA80OR,0.0
CACOAL,0.08734785831803155
DDMCITALOR,0.0
CYTP450Rh,0.0
DMCITALDM,0.0
ECOAH1x,0.0
ECOAH2_1,0.0
ECOAH3_1,0.0
HACD7p,0.0
FACOAL1821,0.0
DMCITALOR,0.0
FACOAL1832,0.0
FACOAL1831,0.0
ECOAH4p,0.0
ECOAH5p,0.0
ECOAH6p,0.0
PACOAL,0.19555347795403308
ECOAH7p,0.0
10FTHFGLULL,0.0
