,fluxes
GLU4ABUTtmi,-6.279585853039112e-13
IDS1,497.29487380471903
IDS2,248.6474369023595
GLUNA1tm,0.0
GLUt2m,0.0
LNS14DM,0.0
LNSTLS,0.0
GLYCLTtm,0.0
LTHSTRLOR,0.0
GLYNA1tm,0.0
GLYt2m,0.0
GMPtm,0.0
H2O2tm,3.5592383393891507e-13
H2Otm,-686.5553060927386
H2tm,0.0
HCO3_h_tmi,303.44469390726084
SSALxm,0.0
HCYStm,0.0
ALATA_L,9.999999999999863
FBA3hi,0.0
GAPDH_nadp_hi,0.0
MCS,745.9423107070786
MERGTROLR,-654.4141048957626
HMGCOAtm,0.0
MPQMT,0.0
HCO3Ehi,0.0
ILEtm,0.0
HCO3E,-696.5553060927391
OBFOOLOR,0.0
HCO3Em,0.0
LEUtm,0.0
MDH_nadp_hi,0.0
PSPPS,124.32371845117977
MAL_na_tm,9.999999999999188
SMO,1000.0
SS,124.32371845117977
ME1m,0.0
AKGMALtm,0.0
TCYD,0.0
TCYG,0.0
TMTB,0.0
PPC,0.0
CITtam,0.0
PPDKh,0.0
PRUK_1,356.5757767676976
TMTD,0.0
TMTG,0.0
RBPCh,356.5757767676976
VITD3S,0.0
ZYMSTR,321.9779065954903
3OACOAR,0.0
SBP_1,0.0
ASPTAm,0.0
MDHC_nadp_hr,-1000.0
ANXANASCOR,0.0
3OACOAS,0.0
ANXANOR,0.0
SHSL1h,0.0
BCAROH,0.0
BCAROKT,0.0
BCRPTXANH,0.0
CHYA1,0.0
CHYA2,0.0
COA1819ZD9DS,0.0
SHSL2h,0.0
ECOAH8,0.0
CXHY,0.0
LCYA,0.0
LCYB,0.0
LCYD,0.0
ECOAR,0.0
LCYE,0.0
FACOAE160,0.0
LCYG,0.0
FACOAE180,0.0
SHSL4h,0.0
FACOAE1819Z,0.0
FACOAE1829Z12Z,0.0
FACOAE1836Z9Z12Z,0.0
FACOAE1839Z12Z15Z,0.0
LUTH,0.0
NEOXANS,0.0
NOR,0.0
PDS1,0.0
PDS2,0.0
PSY,0.0
VIOXANOR,0.0
DESAT18_9,0.0
APLh,0.0
ZAXANOR,0.0
AATC,0.0
ZDS,0.0
APLm,303.4446939072609
ZHY,0.0
BUTCT,0.0
LCYSTATm,0.0
ACOAD1,0.0
BTCOARx,0.0
BNORh,0.0
ETF,303.44469390726084
ETFQO_1,303.44469390726084
3SPYRSPh,0.0
BTS,0.0
3SPYRSPm_1,0.0
AATG,0.0
ACSERSULL,0.0
ACSERSULLh,0.0
ACSERSULLm,0.0
BTS_nadph,0.0
ECOAH1,0.0
ECOAH1m,0.0
HBCHLR,0.0
CYSTAm,0.0
HACD1i,0.0
AATGm,0.0
HBCO_nadp,0.0
CTINBL,0.0
HBCO_nadp_m,0.0
CYSATm,0.0
CYSAT,0.0
TGUAPRT,0.0
HACD1m,0.0
3HAD100_1,0.0
CYSDO,0.0
3HAD120_1,0.0
CYSS_1,0.0
3HAD140_1,0.0
3HAD160_1,0.0
BDHm,-303.4446939072608
HBNOx,0.0
SSNOh,0.0
3HAD180_1,0.0
3HAD181_1,0.0
3HAD40_1,0.0
3HAD60_1,0.0
CYSS_trdrd,0.0
3HAD80_1,0.0
3OAR100_1,0.0
3OAS120_1,0.0
3OAS140_1,0.0
3OAR120_1,0.0
3OAS160_1,0.0
3OAS180_1,0.0
3OAS181_1,0.0
3OAR140_1,0.0
3OAR160_1,0.0
3OAR180_1,0.0
3OAS60_1,0.0
3OAR181_1,0.0
3OAS80_1,0.0
CYSTBL,0.0
ACCOAC_1,0.0
ACOATA_1,0.0
3OAR40_1,0.0
3OAR60_1,0.0
